Year,Removals,Returns
1892,2801,NA
1893,1630,NA
1894,1806,NA
1895,2596,NA
1896,3037,NA
1897,1880,NA
1898,3229,NA
1899,4052,NA
1900,4602,NA
1901,3879,NA
1902,5439,NA
1903,9316,NA
1904,8773,NA
1905,12724,NA
1906,13108,NA
1907,14059,NA
1908,12971,NA
1909,12535,NA
1910,26965,NA
1911,25137,NA
1912,18513,NA
1913,23399,NA
1914,37651,NA
1915,26675,NA
1916,21648,NA
1917,17881,NA
1918,8866,NA
1919,11694,NA
1920,14557,NA
1921,18296,NA
1922,18076,NA
1923,24280,NA
1924,36693,NA
1925,34885,NA
1926,31454,NA
1927,31417,15012
1928,30464,19946
1929,31035,25888
1930,24864,11387
1931,27886,11719
1932,26490,10775
1933,25392,10347
1934,14263,8010
1935,13877,7978
1936,16195,8251
1937,16905,8788
1938,17341,9278
1939,14700,9590
1940,12254,8594
1941,7336,6531
1942,5542,6904
1943,5702,11947
1944,8821,32270
1945,13611,69490
1946,17317,101945
1947,23434,195880
1948,25276,197184
1949,23874,276297
1950,10199,572477
1951,17328,673169
1952,23125,703778
1953,23482,885391
1954,30264,1074277
1955,17695,232769
1956,9006,80891
1957,5989,63379
1958,7875,60600
1959,8468,56610
1960,7240,52796
1961,8181,52383
1962,8025,54164
1963,7763,69392
1964,9167,73042
1965,10572,95263
1966,9680,123683
1967,9728,142343
1968,9590,179952
1969,11030,240958
1970,17469,303348
1971,18294,370074
1972,16883,450927
1973,17346,568005
1974,19413,718740
1975,24432,655814
1976,38471,955374
1977,31263,867015
1978,29277,975515
1979,26825,966137
1980,18013,719211
1981,17379,823875
1982,15216,812572
1983,19211,931600
1984,18696,909833
1985,23105,1041296
1986,24592,1586320
1987,24336,1091203
1988,25829,911790
1989,34427,830890
1990,30039,1022533
1991,33189,1061105
1992,43671,1105829
1993,42542,1243410
1994,45674,1029107
1995,50924,1313764
1996,69680,1573428
1997,114432,1440684
1998,174813,1570127
1999,183114,1574863
2000,188467,1675876
2001,189026,1349371
2002,165168,1012116
2003,211098,945294
2004,240665,1166576
2005,246431,1096920
2006,280974,1043381
2007,319382,891390
2008,359795,811263
2009,391932,582648
2010,383031,474275
2011,388409,322164
2012,419384,229968
